,index,titles,urls,asin,asin_url
23,23,"Python for Data Analysis: Data Wrangling with pandas, NumPy, and Jupyter",https://www.amazon.com/Python-Data-Analysis-Wrangling-Jupyter/dp/109810403X/ref=sr_1_24?qid=1676964973&s=books&sr=1-24,109810403X,https://www.amazon.com/dp/109810403X/
24,24,"Introduction to Algorithms, fourth edition",https://www.amazon.com/Introduction-Algorithms-fourth-Thomas-Cormen/dp/026204630X/ref=sr_1_25?qid=1676964973&s=books&sr=1-25,026204630X,https://www.amazon.com/dp/026204630X/
25,25,Deep Learning (Adaptive Computation and Machine Learning series),https://www.amazon.com/Deep-Learning-Adaptive-Computation-Machine/dp/0262035618/ref=sr_1_26?qid=1676964973&s=books&sr=1-26,0262035618,https://www.amazon.com/dp/0262035618/
26,26,Windows 11 For Dummies,https://www.amazon.com/Windows-11-Dummies-Andy-Rathbone/dp/1119846471/ref=sr_1_27?qid=1676964973&s=books&sr=1-27,1119846471,https://www.amazon.com/dp/1119846471/
27,27,Excel All-in-One For Dummies (For Dummies (Computer/Tech)),https://www.amazon.com/Excel-All-One-Dummies-Computer/dp/1119830729/ref=sr_1_28?qid=1676964973&s=books&sr=1-28,1119830729,https://www.amazon.com/dp/1119830729/
28,28,Software Architecture: The Hard Parts: Modern Trade-Off Analyses for Distributed Architectures,https://www.amazon.com/Software-Architecture-Trade-Off-Distributed-Architectures/dp/1492086894/ref=sr_1_29?qid=1676964973&s=books&sr=1-29,1492086894,https://www.amazon.com/dp/1492086894/
29,29,Algorithms to Live By: The Computer Science of Human Decisions,https://www.amazon.com/Algorithms-to-Live-By-audiobook/dp/B01D24NAL6/ref=sr_1_30?qid=1676964973&s=books&sr=1-30,B01D24NAL6,https://www.amazon.com/dp/B01D24NAL6/
30,30,Design Patterns: Elements of Reusable Object-Oriented Software,https://www.amazon.com/Design-Patterns-Elements-Reusable-Object-Oriented/dp/0201633612/ref=sr_1_31?qid=1676964973&s=books&sr=1-31,0201633612,https://www.amazon.com/dp/0201633612/
31,31,CCNA 200-301 Official Cert Guide Library,https://www.amazon.com/CCNA-200-301-Official-Guide-Library/dp/1587147149/ref=sr_1_32?qid=1676964973&s=books&sr=1-32,1587147149,https://www.amazon.com/dp/1587147149/
32,32,"AP Computer Science A Premium, 2022-2023: Comprehensive Review with 6 Practice Tests + an Online Timed Test Option (Barron's Test Prep)",https://www.amazon.com/Computer-Science-Premium-2022-2023-Comprehensive/dp/1506264158/ref=sr_1_33?qid=1676964987&s=books&sr=1-33,1506264158,https://www.amazon.com/dp/1506264158/
33,33,"CompTIA Security+ All-in-One Exam Guide, Sixth Edition (Exam SY0-601))",https://www.amazon.com/CompTIA-Security-Certification-Guide-SY0-601/dp/1260464008/ref=sr_1_34?qid=1676964987&s=books&sr=1-34,1260464008,https://www.amazon.com/dp/1260464008/
34,34,(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide,https://www.amazon.com/Certified-Information-Security-Professional-Official/dp/1119786231/ref=sr_1_35?qid=1676964987&s=books&sr=1-35,1119786231,https://www.amazon.com/dp/1119786231/
35,35,Code: The Hidden Language of Computer Hardware and Software,https://www.amazon.com/Code-Language-Computer-Hardware-Software/dp/0137909101/ref=sr_1_36?qid=1676964987&s=books&sr=1-36,0137909101,https://www.amazon.com/dp/0137909101/
36,36,QuickBooks 2023 All-in-One For Dummies (For Dummies (Computer/Tech)),https://www.amazon.com/QuickBooks-2023-All-Dummies-Computer/dp/111990613X/ref=sr_1_37?qid=1676964987&s=books&sr=1-37,111990613X,https://www.amazon.com/dp/111990613X/
